"id","code","name","subjects","display_order","is_active"
227,"X56","Toán, Tin học, Công nghệ công nghiệp","[""math"", ""informatics"", ""industrial_tech""]",227,True
228,"X57","Toán, Tin học, Công nghệ nông nghiệp","[""math"", ""informatics"", ""agricultural_tech""]",228,True
229,"X58","Ngữ văn, Vật lí, Giáo dục Kinh tế và pháp luật","[""literature"", ""physics"", ""economic_law""]",229,True
230,"X59","Ngữ văn, Vật lí, Tin học","[""literature"", ""physics"", ""informatics""]",230,True
231,"X60","Ngữ văn, Vật lí, Công nghệ công nghiệp","[""literature"", ""physics"", ""industrial_tech""]",231,True
232,"X61","Ngữ văn, Vật lí, Công nghệ nông nghiệp","[""literature"", ""physics"", ""agricultural_tech""]",232,True
233,"X62","Ngữ văn, Hóa học, Giáo dục Kinh tế và pháp luật","[""literature"", ""chemistry"", ""economic_law""]",233,True
234,"X63","Ngữ văn, Hóa học, Tin học","[""literature"", ""chemistry"", ""informatics""]",234,True
235,"X64","Ngữ văn, Hóa học, Công nghệ công nghiệp","[""literature"", ""chemistry"", ""industrial_tech""]",235,True
236,"X65","Ngữ văn, Hóa học, Công nghệ nông nghiệp","[""literature"", ""chemistry"", ""agricultural_tech""]",236,True
237,"X66","Ngữ văn, Sinh học, Giáo dục Kinh tế và pháp luật","[""literature"", ""biology"", ""economic_law""]",237,True
238,"X67","Ngữ văn, Sinh học, Tin học","[""literature"", ""biology"", ""informatics""]",238,True
239,"X68","Ngữ văn, Sinh học, Công nghệ công nghiệp","[""literature"", ""biology"", ""industrial_tech""]",239,True
240,"X69","Ngữ văn, Sinh học, Công nghệ nông nghiệp","[""literature"", ""biology"", ""agricultural_tech""]",240,True
241,"X70","Ngữ văn, Lịch sử, Giáo dục Kinh tế và pháp luật","[""literature"", ""history"", ""economic_law""]",241,True
242,"X71","Ngữ văn, Lịch sử, Tin học","[""literature"", ""history"", ""informatics""]",242,True
243,"X72","Ngữ văn, Lịch sử, Công nghệ công nghiệp","[""literature"", ""history"", ""industrial_tech""]",243,True
244,"X73","Ngữ văn, Lịch sử, Công nghệ nông nghiệp","[""literature"", ""history"", ""agricultural_tech""]",244,True
245,"X74","Ngữ văn, Địa lí, Giáo dục Kinh tế và pháp luật","[""literature"", ""geography"", ""economic_law""]",245,True
246,"X75","Ngữ văn, Địa lí, Tin học","[""literature"", ""geography"", ""informatics""]",246,True
247,"X76","Ngữ văn, Địa lí, Công nghệ công nghiệp","[""literature"", ""geography"", ""industrial_tech""]",247,True
248,"X77","Ngữ văn, Địa lí, Công nghệ nông nghiệp","[""literature"", ""geography"", ""agricultural_tech""]",248,True
249,"X78","Ngữ văn, Giáo dục Kinh tế và pháp luật, Tiếng Anh","[""literature"", ""economic_law"", ""english""]",249,True
250,"X79","Ngữ văn, Tin học, Tiếng Anh","[""literature"", ""informatics"", ""english""]",250,True
251,"X80","Ngữ văn, Công nghệ công nghiệp, Tiếng Anh","[""literature"", ""industrial_tech"", ""english""]",251,True
252,"X81","Ngữ văn, Công nghệ nông nghiệp, Tiếng Anh","[""literature"", ""agricultural_tech"", ""english""]",252,True
253,"X82","Ngữ văn, Giáo dục Kinh tế và pháp luật, Tiếng Nga","[""literature"", ""economic_law"", ""russian""]",253,True
254,"X83","Ngữ văn, Tin học, Tiếng Nga","[""literature"", ""informatics"", ""russian""]",254,True
